product_code,product_name,brand,energy-kcal_value,energy-kj_value,carbohydrates_value,sugars_value,fat_value,saturated-fat_value,proteins_value,fiber_value,salt_value,sodium_value,fruits-vegetables-nuts-estimate-from-ingredients_100g,nutrition-score-fr,nova-group,sugar_to_carb_ratio,calorie_category,sugar_category,is_ultra_processed
6111035000430,Sidi Ali,سيدي علي,0.0,20.0,42.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,4.0,0.3333333333333333,Low Calorie,Moderate Sugar,Yes
6111242100992,perly,perly,97.0,406.0,9.4,0.0,3.0,15.2,8.0,0.0,1.6,0.64,5.0,16.0,3.0,0.0,Low Calorie,Low Sugar,No
6111035002175,Sidi Ali,Sidi Ali,0.0,1140.0,0.0,0.0,0.0,0.0,0.0,2.0,65.0,26.0,0.0,0.0,1.0,,Low Calorie,Low Sugar,No
6111035000058,Eau minérale naturelle,sidi ali,240.0,1140.0,15.0,4.0,6.0,1.3,5.6,2.0,65.0,26.0,0.0,0.0,1.0,0.26666666666666666,Moderate Calorie,Low Sugar,No
6111252421568,اكوافينا,AQUAFINA,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00508,0.002032,0.0,0.0,4.0,,Low Calorie,Low Sugar,Yes
6111266962187,Lait,Jaouda,45.0,188.0,4.9,0.0,1.5,1.0,3.1,0.0,0.225,0.09,0.0,-3.0,3.0,0.0,Low Calorie,Low Sugar,No
3274080005003,Eau De Source,Cristaline,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52.5,21.0,0.0,0.0,1.0,,Low Calorie,Low Sugar,No
6111246721261,Fromage blanc nature,MILKY FOOD PROFESSIONAL,80.6,337.0,6.1,0.0,12.0,0.0,7.3,0.0,0.0,0.0,0.0,-2.0,3.0,0.0,Low Calorie,Low Sugar,No
6111242101180,uht jaouda 1L,Jaouda,58.0,285.0,4.8,0.0,3.0,0.0,3.0,0.0,0.0,0.0,0.0,-1.0,1.0,0.0,Low Calorie,Low Sugar,No
6111242106949,Jben,Jaouda,235.0,984.0,3.5,0.0,21.0,15.0,8.0,0.0,0.46,0.184,0.0,11.0,4.0,0.0,Moderate Calorie,Low Sugar,Yes
6111128000071,Ain Saïss,Danone,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,,Low Calorie,Low Sugar,No
6111035502828,Eau minéral naturelle,Ain atlas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,,Low Calorie,Low Sugar,Yes
6111035000027,6111035000027,Sidi Ali,0.0,1140.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0065,0.0026,0.0,0.0,1.0,,Low Calorie,Low Sugar,No
50184453,Marmite Yeast Extract,"Marmite,Unilever",260.0,1100.0,30.0,1.2,0.5,0.1,34.0,2.0,10.8,4.32,0.734863281249993,23.0,4.0,0.04,Moderate Calorie,Low Sugar,Yes
6111252421582,اكوافينا,pepsi,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,1.0,,Low Calorie,Low Sugar,No
7622210449283,Prince Goût Chocolat,LU,93.0,392.0,14.0,6.3,3.5,1.1,1.3,0.8,0.1,0.04,6.80681818181818,20.0,4.0,0.45,Low Calorie,Low Sugar,Yes
3046920029759,Excellence Noir Prodigieux 90% Cacao,Lindt,592.0,2350.0,14.0,7.0,55.0,30.0,10.0,0.0,0.03,0.012,0.0,19.0,3.0,0.5,High Calorie,Low Sugar,No
6111035003035,Oulmes natural carbonated water,Les eaux minérales d'Oulmès S.A.,240.0,1140.0,15.0,4.0,6.0,1.3,5.6,2.0,0.78375,0.3135,0.0,0.0,4.0,0.26666666666666666,Moderate Calorie,Low Sugar,Yes
3017620425035,Nutella,Ferrero,539.0,2252.0,57.5,56.3,30.9,10.6,6.3,0.0,0.107,0.0428,13.0,31.0,4.0,0.9791304347826086,High Calorie,High Sugar,Yes
5449000147417,Cappy PULPY,Coca cola,39.0,165.0,9.0,7.0,0.0,0.0,0.0,0.0,126.0,50.4,11.6071428571429,12.0,4.0,0.7777777777777778,Low Calorie,Low Sugar,Yes
